Question;ReponseA;ProfilA;ReponseB;ProfilB;ReponseC;ProfilC;ReponseD;ProfilD
Vous marchez dans une rue sombre et entendez un cri venant d'une ruelle. Que faites-vous ? ;A. Vous accourez pour voir ce qu'il se passe et portez secours si nécessaire.;(2, 0, 0, 1);B. Vous appelez la police et restez à distance pour ne pas vous mettre en danger. ;(0, 0, 2, 1);C. Vous ignorez la situation, préférant éviter les ennuis. ;(-1, 1, 0, -2)
Un collègue oublie un dossier important sur son bureau. Vous savez qu'en le présentant à votre supérieur comme le vôtre, vous pourriez obtenir une promotion. Que faites-vous ? ;A. Vous rendez immédiatement le dossier à votre collègue sans y jeter un œil. ;(1, 0, 0, 2);B. Vous consultez le dossier pour voir s’il contient des informations utiles, mais sans le voler. ;(0, 1, 2, 0);C. Vous vous appropriez le dossier et le présentez comme le vôtre. ;(0, 2, -1, -2)
Vous trouvez une note mystérieuse avec une énigme qui semble mener à un trésor caché. Que faites-vous ? ;A. Vous vous lancez immédiatement dans la résolution de l'énigme, excité par l’aventure. ;(1, 1, 0, 0);B. Vous demandez l'aide d'un ami avant de tenter quoi que ce soit. ;(0, 0, 1, 1);C. Vous laissez tomber, cela semble être une perte de temps. ;(-1, -1, 0, 0)
Vous trouvez un portefeuille contenant une somme d’argent importante mais sans moyen direct de contacter le propriétaire. Que faites-vous ? ;A. Vous l’apportez au poste de police le plus proche. ;(1, 0, 0, 2);B. Vous prenez l’argent et jetez le portefeuille. ;(0, 2, 0, -2);C. Vous gardez le portefeuille et attendez que quelqu'un le réclame. ;(0, 1, 1, 1)
Lors d’une discussion animée, deux amis commencent à s'énerver et la dispute s’envenime. Que faites-vous ? ;A. Vous vous désengagez, ce n’est pas votre problème. ;(0, 1, 0, -1);B. Vous tentez de calmer la situation et de les réconcilier. ;(0, 0, 1, 2);C. Vous observez, prêt à intervenir si cela dégénère vraiment. ;(1, 0, 0, 0);D. Vous allez chercher de l’aide.;(-1, 0, 1,0)
Vous remarquez une personne âgée ayant du mal à traverser une rue animée. Que faites-vous ? ;A. Vous passez votre chemin, pressé par vos propres obligations. ;(0,1,0,-1);B. Vous l’aidez immédiatement à traverser en vous assurant qu’elle est en sécurité. ;(1,0,0,2);C. Vous vérifiez d'abord si quelqu'un d'autre peut l'aider avant d'agir. ;(-1, 0, 0, 0)
Votre équipe doit rendre un projet important, mais vous êtes le seul à avoir bien avancé sur le travail. Que faites-vous ? ;A. Vous ne faites que votre part et laissez les autres assumer leurs responsabilités. ;(0, 2, -1, -1);B. Vous terminez seul le projet pour garantir un bon résultat.;(0,2,1,0);C. Vous aidez vos coéquipiers à rattraper leur retard.;(1,0,1,1)
Vous êtes témoin d’un vol dans un magasin et voyez le voleur s’enfuir. Que faites-vous ? ;A. Vous informez le personnel du magasin et décrivez le voleur.;(0, 0, 2, 1);B. Vous faites comme si vous n’aviez rien vu pour ne pas être mêlé à cette affaire.;(-1, 0, 0, 0);C. Vous tentez d’arrêter le voleur.;(2, 1, 0, 1);D. Vous criez pour attirer l’attention.;(-1,-1,1,1)
Vous participez à un concours où la victoire pourrait vous apporter beaucoup, mais vous découvrez qu’un concurrent est sur le point de faire une grave erreur. Que faites-vous ? ;A. Vous le prévenez, car gagner honnêtement est important pour vous. ;(1, 0, 0, 2);B. Vous attendez de voir s’il s’en rend compte avant d’agir. ;(0, 0, 1, 1);C. Vous ne dites rien, ce n’est pas votre problème.;(0, 2, 0, -1)
On vous propose un investissement très rentable, mais qui implique de prendre des risques importants. Que faites-vous ? ;A. Vous analysez attentivement les risques avant de prendre une décision. ;(0,1,2,0);. Vous acceptez immédiatement, les grandes opportunités nécessitent d’oser.;(1,2,-2,0);C. Vous refusez, préférant assurer votre stabilité.;(-1, 0,-1,0)
